t_sec,algo,status,center_deviation_px,angle_deg,time_ms,gt_yaw_deg,gt_x_m,gt_y_m,angle_error_deg,xb_left,xb_right,fpc_left,fpc_right
11.777330,hough,3,-7.000000,93.366463,12.727198,-177.914,3.72575,3.27557,3.36646,nan,nan,nan,nan
11.840175,hough,3,-8.000000,93.846031,13.158872,-177.914,3.72577,3.27558,3.84603,nan,nan,nan,nan
11.903644,hough,3,-7.000000,93.366463,12.154646,-177.914,3.72578,3.27558,3.36646,nan,nan,nan,nan
11.977616,hough,3,-7.000000,93.366463,13.419257,-177.915,3.72581,3.27558,3.36646,nan,nan,nan,nan
12.030368,hough,3,-7.000000,93.366463,13.104624,-177.915,3.72582,3.27558,3.36646,nan,nan,nan,nan
12.096280,hough,3,-7.000000,93.366463,12.007824,-177.915,3.72585,3.27558,3.36646,nan,nan,nan,nan
12.167368,hough,3,-7.000000,93.366463,12.084958,-177.915,3.72587,3.27558,3.36646,nan,nan,nan,nan
12.235898,hough,3,-7.000000,93.366463,11.962660,-177.915,3.72589,3.27558,3.36646,nan,nan,nan,nan
12.301843,hough,3,-8.000000,93.846031,12.213330,-177.915,3.72591,3.27558,3.84603,nan,nan,nan,nan
12.369078,hough,3,-7.000000,93.366463,12.201334,-177.916,3.72593,3.27558,3.36646,nan,nan,nan,nan
12.433871,hough,3,-7.000000,93.366463,12.181902,-177.916,3.72611,3.27559,3.36646,nan,nan,nan,nan
12.504958,hough,3,-6.000000,92.886421,12.763886,-177.918,3.72646,3.2756,2.88642,nan,nan,nan,nan
12.573820,hough,3,-7.000000,93.366463,13.239674,-177.921,3.72696,3.27562,3.36646,nan,nan,nan,nan
12.640655,hough,3,-8.000000,93.846031,13.333477,-177.924,3.72758,3.27564,3.84603,nan,nan,nan,nan
12.706169,hough,3,-8.000000,93.846031,13.607873,-177.927,3.7283,3.27567,3.84603,nan,nan,nan,nan
12.758839,hough,3,-8.000000,93.846031,6.265324,-177.93,3.72908,3.2757,3.84603,nan,nan,nan,nan
12.840033,hough,3,-7.000000,93.366463,13.491847,-177.932,3.72961,3.27571,3.36646,nan,nan,nan,nan
12.903155,hough,3,-7.000000,93.366463,12.521382,-177.933,3.72984,3.27572,3.36646,nan,nan,nan,nan
12.982896,hough,3,-7.000000,93.366463,13.019589,-177.933,3.7298,3.27572,3.36646,nan,nan,nan,nan
13.039441,hough,3,-7.000000,93.366463,13.400834,-177.931,3.72923,3.2757,3.36646,nan,nan,nan,nan
13.105145,hough,3,-9.000000,94.325058,12.320203,-177.927,3.72814,3.27566,4.32506,nan,nan,nan,nan
13.174133,hough,3,-8.000000,93.846031,12.260166,-177.923,3.72664,3.27561,3.84603,nan,nan,nan,nan
13.250905,hough,3,-6.000000,92.886421,11.957262,-177.917,3.72478,3.27554,2.88642,nan,nan,nan,nan
13.305060,hough,3,-6.000000,92.886421,12.556778,-177.911,3.72264,3.27546,2.88642,nan,nan,nan,nan
13.374799,hough,3,-8.000000,93.846031,12.277758,-177.904,3.72027,3.27537,3.84603,nan,nan,nan,nan
13.439725,hough,3,-7.000000,93.366463,12.266042,-177.897,3.71777,3.27528,3.36646,nan,nan,nan,nan
13.506637,hough,3,-7.000000,93.366463,12.456922,-177.89,3.71516,3.27519,3.36646,nan,nan,nan,nan
13.569567,hough,3,-7.000000,93.366463,12.254033,-177.886,3.71382,3.27514,3.36646,nan,nan,nan,nan
13.640995,hough,3,-7.000000,93.366463,12.205545,-177.877,3.71079,3.27503,3.36646,nan,nan,nan,nan
13.708425,hough,3,-8.000000,93.846031,12.116933,-177.867,3.70727,3.27489,3.84603,nan,nan,nan,nan
13.781832,hough,3,-8.000000,93.846031,12.351023,-177.85,3.70127,3.27467,3.84603,nan,nan,nan,nan
13.842350,hough,3,-9.000000,94.325058,12.248186,-177.844,3.69913,3.27459,4.32506,nan,nan,nan,nan
13.905363,hough,3,-8.000000,93.846031,12.264425,-177.832,3.6947,3.27442,3.84603,nan,nan,nan,nan
13.978631,hough,3,-8.000000,93.846031,13.426661,-177.82,3.69009,3.27425,3.84603,nan,nan,nan,nan
14.037075,hough,3,-8.000000,93.846031,12.167672,-177.808,3.68538,3.27407,3.84603,nan,nan,nan,nan
14.111833,hough,3,-9.000000,94.325058,12.174629,-177.796,3.68061,3.27389,4.32506,nan,nan,nan,nan
14.173729,hough,3,-9.000000,94.325058,12.154132,-177.784,3.67579,3.2737,4.32506,nan,nan,nan,nan
14.238266,hough,3,-10.000000,94.803482,12.478265,-177.772,3.67093,3.27351,4.80348,nan,nan,nan,nan
14.306966,hough,3,-9.000000,94.325058,12.194305,-177.761,3.66604,3.27332,4.32506,nan,nan,nan,nan
14.358346,hough,3,-10.000000,94.803482,5.323745,-177.749,3.66111,3.27313,4.80348,nan,nan,nan,nan
14.448471,hough,3,-9.000000,94.325058,12.710225,-177.739,3.65616,3.27293,4.32506,nan,nan,nan,nan
14.508557,hough,3,-11.000000,95.281242,12.826498,-177.729,3.65119,3.27274,5.28124,nan,nan,nan,nan
14.576051,hough,3,-10.000000,94.803482,12.709651,-177.719,3.64621,3.27254,4.80348,nan,nan,nan,nan
14.627526,hough,3,-11.000000,95.281242,8.503157,-177.714,3.64371,3.27244,5.28124,nan,nan,nan,nan
14.705277,hough,3,-9.000000,94.325058,12.470398,-177.7,3.6362,3.27214,4.32506,nan,nan,nan,nan
14.779881,hough,3,-9.000000,94.325058,12.542451,-177.69,3.63118,3.27194,4.32506,nan,nan,nan,nan
14.845795,hough,3,-11.000000,95.281242,12.739632,-177.682,3.62616,3.27173,5.28124,nan,nan,nan,nan
14.909401,hough,3,-10.000000,94.803482,12.726547,-177.674,3.62113,3.27153,4.80348,nan,nan,nan,nan
14.973860,hough,3,-11.000000,95.281242,12.686878,-177.666,3.61609,3.27132,5.28124,nan,nan,nan,nan
15.037973,hough,3,-11.000000,95.281242,11.963217,-177.659,3.61105,3.27112,5.28124,nan,nan,nan,nan
